,,, Amount ,,,,,,Date,,,,
Audiogalaxy,http://www.crunchbase.com/company/audiogalaxy-2,,,,,,,,,,,,
Authentic8,http://www.crunchbase.com/company/authentic8,,,,,,,,,,,,
Automation Business Technologies,http://www.crunchbase.com/company/automation-business-technologies,,,,,,,,,,,,
Avakon+,http://www.crunchbase.com/company/avakon-media,,,,,,,,,,,,
Aventure Host,http://www.crunchbase.com/company/aventure-host,,,,,,,,,,,,
Aver Informatics,http://www.crunchbase.com/company/aver-informatics,,,,,,,,,,,,
Aviary,http://www.crunchbase.com/company/aviary,,,,,,,,,,,,
Axalot,http://www.crunchbase.com/company/axalot,,,,,,,,,,,,
Axara Technologies Pvt Ltd,http://www.crunchbase.com/company/axara-technologies-pvt-ltd,,,,,,,,,,,,
Axcient,http://www.crunchbase.com/company/axcient,,,,,,,,,,,,
AyerViernes S.A.,http://www.crunchbase.com/company/ayerviernes-s-a,,,,,,,,,,,,
Azork,http://www.crunchbase.com/company/azork,,,,,,,,,,,,
BCMLogic,http://www.crunchbase.com/company/bcmlogic,,,,,,,,,,,,
BDL Media,http://www.crunchbase.com/company/bdl-media,,,,,,,,,,,,
BI Cloud,http://www.crunchbase.com/company/bi-cloud,,,,,,,,,,,,
BLADE Network Technologies,http://www.crunchbase.com/company/blade-network-technologies,,,,,,,,,,,,
"BLUERIDGE Analytics, Inc.",http://www.crunchbase.com/company/blueridge-analytics-inc,,,,,,,,,,,,
BLasmO!,http://www.crunchbase.com/company/blasmo,,,,,,,,,,,,
BO.LT,http://www.crunchbase.com/company/bo-lt,,,,,,,,,,,,
BODHost Ltd,http://www.crunchbase.com/company/bodhost-ltd,,,,,,,,,,,,
Babelway,http://www.crunchbase.com/company/babelway,,,,,,,,,,,,
Backup Box,http://www.crunchbase.com/company/backup-box,,,,,,,,,,,,
Backup-for-SaaS,http://www.crunchbase.com/company/backup-for-saas,,,,,,,,,,,,
BackupAgent,http://www.crunchbase.com/company/backupagent,,,,,,,,,,,,
Banckle,http://www.crunchbase.com/company/banckle,,,,,,,,,,,,
BasicGov Systems,http://www.crunchbase.com/company/basicgov-systems,,,,,,,,,,,,
BastionHost,http://www.crunchbase.com/company/bastionhost,,,,,,,,,,,,
Bayonette,http://www.crunchbase.com/company/bayonette,,,,,,,,,,,,
Bazoo.TV,http://www.crunchbase.com/company/bazoo-tv,,,,,,,,,,,,
Beemaster,http://www.crunchbase.com/company/beemaster,,,,,,,,,,,,
Best Reviews,http://www.crunchbase.com/company/best-reviews,,,,,,,,,,,,
Best Vendor ,http://www.crunchbase.com/company/best-vendor,,,,,,,,,,,,
BetterCloud,http://www.crunchbase.com/company/bettercloud,,,,,,,,,,,,
Bimo Marketing,http://www.crunchbase.com/company/bimo-marketing,,,,,,,,,,,,
Bimotics,http://www.crunchbase.com/company/bimotics,,,,,,,,,,,,
Biotronics3D,http://www.crunchbase.com/company/biotronics3d,,,,,,,,,,,,
BitNami Cloud Hosting,http://www.crunchbase.com/company/bitnami-cloud-hosting,,,,,,,,,,,,
Bitcasa,http://www.crunchbase.com/company/bitcasa,,,,,,,,,,,,
Bitdrive.net,http://www.crunchbase.com/company/bitdrive,,,,,,,,,,,,
Bitnami,http://www.crunchbase.com/company/bitnami,,,,,,,,,,,,
Bits Republic Technologies,http://www.crunchbase.com/company/bits-republic-technologies,,,,,,,,,,,,
Bitspace,http://www.crunchbase.com/company/bitspace,,,,,,,,,,,,
Bittle,http://www.crunchbase.com/company/bittle-2,,,,,,,,,,,,
Bittwist,http://www.crunchbase.com/company/bittwist,,,,,,,,,,,,
BizAnytime,http://www.crunchbase.com/company/bizanytime,,,,,,,,,,,,
BizBrag,http://www.crunchbase.com/company/bizbrag,,,,,,,,,,,,
BlackBox-BI,http://www.crunchbase.com/company/blackbox-bi,,,,,,,,,,,,
BlazeMeter,http://www.crunchbase.com/company/blazemeter,,,,,,,,,,,,
Blicko,http://www.crunchbase.com/company/blicko,,,,,,,,,,,,
BlogRadio,http://www.crunchbase.com/company/blogradio,,,,,,,,,,,,
Blue Monitor Systems,http://www.crunchbase.com/company/blue-monitor-systems,,,,,,,,,,,,
Blue Penguin Consulting,http://www.crunchbase.com/company/blue-penguin-consulting,,,,,,,,,,,,
BlueLock,http://www.crunchbase.com/company/bluelock,,,,,,,,,,,,
BlueSprig,http://www.crunchbase.com/company/bluesprig,,,,,,,,,,,,
Bluewolf,http://www.crunchbase.com/company/bluewolf,,,,,,,,,,,,
Bluyah,http://www.crunchbase.com/company/bluyah,,,,,,,,,,,,
Bonskai,http://www.crunchbase.com/company/bonskai,,,,,,,,,,,,
BookMyCloud,http://www.crunchbase.com/company/bookmycloud,,,,,,,,,,,,
