,,, Amount ,,,,,,Date,,,,
Cofio Software,http://www.crunchbase.com/company/cofio-software,,,,,,,,,,,,
Cognito IT,http://www.crunchbase.com/company/cognito-it,,,,,,,,,,,,
ColdLight Solutions,http://www.crunchbase.com/company/coldlight-solutions,,,,,,,,,,,,
Collaborate Cloud,http://www.crunchbase.com/company/collaborate-cloud,,,,,,,,,,,,
Commentag,http://www.crunchbase.com/company/commentag,,,,,,,,,,,,
Compare the Cloud,http://www.crunchbase.com/company/compare-the-cloud-2,,,,,,,,,,,,
Comparz,http://www.crunchbase.com/company/comparz,,,,,,,,,,,,
"CompuTEK Industries, LLC.",http://www.crunchbase.com/company/computek-industries-llc,,,,,,,,,,,,
Computer System Works,http://www.crunchbase.com/company/computer-system-works,,,,,,,,,,,,
Concego,http://www.crunchbase.com/company/concego,,,,,,,,,,,,
Concrete,http://www.crunchbase.com/company/concrete,,,,,,,,,,,,
Conexim,http://www.crunchbase.com/company/conexim,,,,,,,,,,,,
Confluex,http://www.crunchbase.com/company/confluex,,,,,,,,,,,,
Conflux Technologies,http://www.crunchbase.com/company/conflux-technologies,,,,,,,,,,,,
Conformity,http://www.crunchbase.com/company/conformity,,,,,,,,,,,,
ConnectBusiness,http://www.crunchbase.com/company/connectbusiness,,,,,,,,,,,,
ConnectWise,http://www.crunchbase.com/company/connectwise-2,,,,,,,,,,,,
Connectria Hosting,http://www.crunchbase.com/company/connectria,,,,,,,,,,,,
Contact Telecom,http://www.crunchbase.com/company/contact-telecom,,,,,,,,,,,,
Content Syndicate: Words on Demand,http://www.crunchbase.com/company/content-syndicate-words-on-demand,,,,,,,,,,,,
Contracked BV,http://www.crunchbase.com/company/contracked-bv,,,,,,,,,,,,
Convergence IT Services,http://www.crunchbase.com/company/convergence-it-services,,,,,,,,,,,,
CopperEgg Corporation,http://www.crunchbase.com/company/copperegg-corporation,,,,,,,,,,,,
Cordys,http://www.crunchbase.com/company/cordys-software,,,,,,,,,,,,
"Corent Technology, Inc.",http://www.crunchbase.com/company/corent-technology-inc,,,,,,,,,,,,
CounterBooks,http://www.crunchbase.com/company/counterbooks,,,,,,,,,,,,
CounterTack,http://www.crunchbase.com/company/countertack,,,,,,,,,,,,
CourseEasy,http://www.crunchbase.com/company/courseeasy-2,,,,,,,,,,,,
Crash Bang Studios,http://www.crunchbase.com/company/crash-bang-studios,,,,,,,,,,,,
Crisalix,http://www.crunchbase.com/company/crisalix,,,,,,,,,,,,
CrowdFlower,http://www.crunchbase.com/company/crowdflower,,,,,,,,,,,,
CrowdPC,http://www.crunchbase.com/company/crowdpc-inc,,,,,,,,,,,,
CumuLogic,http://www.crunchbase.com/company/cumulogic,,,,,,,,,,,,
CumuLogic,http://www.crunchbase.com/company/cumulogic-2,,,,,,,,,,,,
Cumulux,http://www.crunchbase.com/company/cumulux,,,,,,,,,,,,
Curvanade,http://www.crunchbase.com/company/curvanade,,,,,,,,,,,,
Curve Dental,http://www.crunchbase.com/company/curve-dental,,,,,,,,,,,,
CyanGate,http://www.crunchbase.com/company/cyangate,,,,,,,,,,,,
Cycle Computing,http://www.crunchbase.com/company/cycle-computing,,,,,,,,,,,,
Cycle30,http://www.crunchbase.com/company/cycle30,,,,,,,,,,,,
D2 Benelux,http://www.crunchbase.com/company/d2-benelux,,,,,,,,,,,,
DEAN Alert,http://www.crunchbase.com/company/dean-alert,,,,,,,,,,,,
DFLabs,http://www.crunchbase.com/company/dflabs,,,,,,,,,,,,
DNSly,http://www.crunchbase.com/company/dnsly,,,,,,,,,,,,
DRD,http://www.crunchbase.com/company/drd,,,,,,,,,,,,
DSM GB Ltd,http://www.crunchbase.com/company/dsm-gb-ltd,,,,,,,,,,,,
DYNAGENT SOFTWARE SL,http://www.crunchbase.com/company/dynagent-software-sl,,,,,,,,,,,,
Damang Media Group,http://www.crunchbase.com/company/damang-media-group,,,,,,,,,,,,
Dashlane,http://www.crunchbase.com/company/dashlane,,,,,,,,,,,,
Data Scout,http://www.crunchbase.com/company/data-scout,,,,,,,,,,,,
DataPoint Inc.,http://www.crunchbase.com/company/datapoint-inc,,,,,,,,,,,,
Datacenter Trust,http://www.crunchbase.com/company/datacenter-trust,,,,,,,,,,,,
Datalla,http://www.crunchbase.com/company/datalla,,,,,,,,,,,,
Dataprise,http://www.crunchbase.com/company/dataprise,,,,,,,,,,,,
Dataracks,http://www.crunchbase.com/company/dataracks,,,,,,,,,,,,
DateInMind,http://www.crunchbase.com/company/dateinmind,,,,,,,,,,,,
Datkey,http://www.crunchbase.com/company/datkey,,,,,,,,,,,,
Datotel,http://www.crunchbase.com/company/datotel,,,,,,,,,,,,
Dayforce,http://www.crunchbase.com/company/dayforce,,,,,,,,,,,,
Daynix,http://www.crunchbase.com/company/daynix,,,,,,,,,,,,
Dealer Ignition,http://www.crunchbase.com/company/dealer-ignition,,,,,,,,,,,,
Decksharks,http://www.crunchbase.com/company/decksharks,,,,,,,,,,,,
Degoo,http://www.crunchbase.com/company/degoo,,,,,,,,,,,,
Delivered Innovation,http://www.crunchbase.com/company/delivered-innovation,,,,,,,,,,,,
Designwaves,http://www.crunchbase.com/company/designwaves,,,,,,,,,,,,
Desktop Anywhere,http://www.crunchbase.com/company/desktop-anywhere,,,,,,,,,,,,
Detecon USA,http://www.crunchbase.com/company/detecon-usa,,,,,,,,,,,,
DevDesk,http://www.crunchbase.com/company/devdesk,,,,,,,,,,,,
DevSpark,http://www.crunchbase.com/company/devspark,,,,,,,,,,,,
Deveel IT,http://www.crunchbase.com/company/deveel-it,,,,,,,,,,,,
Devver,http://www.crunchbase.com/company/devver,,,,,,,,,,,,
Dexero,http://www.crunchbase.com/company/dexero,,,,,,,,,,,,
DiVA-Cloud,http://www.crunchbase.com/company/diva-cloud,,,,,,,,,,,,
DiceData,http://www.crunchbase.com/company/dicedata,,,,,,,,,,,,
Digital Darwin Ltd,http://www.crunchbase.com/company/digital-darwin-ltd,,,,,,,,,,,,
Digital Ignite,http://www.crunchbase.com/company/digital-ignite,,,,,,,,,,,,
Digital Mines,http://www.crunchbase.com/company/digital-mines,,,,,,,,,,,,
Digital Saber Solutions,http://www.crunchbase.com/company/digital-saber-solutions,,,,,,,,,,,,
Digital Technology International,http://www.crunchbase.com/company/digital-technology-international,,,,,,,,,,,,
Digital-Edge,http://www.crunchbase.com/company/digital-edge-2,,,,,,,,,,,,
DigitalOcean,http://www.crunchbase.com/company/digitalocean,,,,,,,,,,,,
Digitaria,http://www.crunchbase.com/company/digitaria,,,,,,,,,,,,
Digitiliti,http://www.crunchbase.com/company/digitiliti,,,,,,,,,,,,
DigitisedArt,http://www.crunchbase.com/company/digitisedart,,,,,,,,,,,,
Dimofinf,http://www.crunchbase.com/company/dimofinf,,,,,,,,,,,,
Diomede Storage,http://www.crunchbase.com/company/diomede-storage,,,,,,,,,,,,
Dispatch,http://www.crunchbase.com/company/dispatch-io,,,,,,,,,,,,
Distil,http://www.crunchbase.com/company/distil,,,,,,,,,,,,
Dito,http://www.crunchbase.com/company/dito,,,,,,,,,,,,
Dizzion,http://www.crunchbase.com/company/dizzion,,,,,,,,,,,,
Docebo,http://www.crunchbase.com/company/docebo,,,,,,,,,,,,
Dome9 Security,http://www.crunchbase.com/company/dome9-security,,,,,,,,,,,,
Doocuments,http://www.crunchbase.com/company/doocuments,,,,,,,,,,,,
Dorado Corporation ,http://www.crunchbase.com/company/dorado-corporation,,,,,,,,,,,,
Downcase,http://www.crunchbase.com/company/downcase-consulting,,,,,,,,,,,,
DoxOut,http://www.crunchbase.com/company/doxout,,,,,,,,,,,,
Doyenz,http://www.crunchbase.com/company/doyenz,,,,,,,,,,,,
Drawn to Scale,http://www.crunchbase.com/company/drawn-to-scale,,,,,,,,,,,,
Dream Broker,http://www.crunchbase.com/company/dream-broker,,,,,,,,,,,,
Dreve,http://www.crunchbase.com/company/dreve,,,,,,,,,,,,
Drivecast,http://www.crunchbase.com/company/drivecast,,,,,,,,,,,,
"Driver Technology Consulting, LLC",http://www.crunchbase.com/company/driver-technology-consulting-llc,,,,,,,,,,,,
Droisys,http://www.crunchbase.com/company/droisys,,,,,,,,,,,,
Dropmysite,http://www.crunchbase.com/company/dropmysite,,,,,,,,,,,,
Dropstr,http://www.crunchbase.com/company/dropstr,,,,,,,,,,,,
Drupro Oy,http://www.crunchbase.com/company/drupro-oy,,,,,,,,,,,,
Druva ,http://www.crunchbase.com/company/druva-software,,,,,,,,,,,,
Duetto Research,http://www.crunchbase.com/company/duetto-research,,,,,,,,,,,,
Duo Security,http://www.crunchbase.com/company/duo-security,,,,,,,,,,,,
Dyn,http://www.crunchbase.com/company/dyn,,,,,,,,,,,,
DynTek,http://www.crunchbase.com/company/dyntek,,,,,,,,,,,,
DynaCloud,http://www.crunchbase.com/company/dynacloud,,,,,,,,,,,,
DynamicOps,http://www.crunchbase.com/company/dynamicops,,,,,,,,,,,,
E2E Networks,http://www.crunchbase.com/company/e2e-networks,,,,,,,,,,,,
EMG Live Fitness,http://www.crunchbase.com/company/emg-live-fitness,,,,,,,,,,,,
ENTech Solutions,http://www.crunchbase.com/company/entech-solutions,,,,,,,,,,,,
ER Advisor,http://www.crunchbase.com/company/er-advisor,,,,,,,,,,,,
ESDS Software Solution Pvt. Ltd.,http://www.crunchbase.com/company/esds-software-solution-pvt-ltd,,,,,,,,,,,,
EachScape,http://www.crunchbase.com/company/eachscape,,,,,,,,,,,,
EasyCloud,http://www.crunchbase.com/company/goeasycloud,,,,,,,,,,,,
EasyStreet,http://www.crunchbase.com/company/easystreet,,,,,,,,,,,,
Easyling,http://www.crunchbase.com/company/easyling,,,,,,,,,,,,
Eccentex Corporation,http://www.crunchbase.com/company/eccentex-corporation,,,,,,,,,,,,
Edi Fabric,http://www.crunchbase.com/company/edi-fabric,,,,,,,,,,,,
Eduora,http://www.crunchbase.com/company/eduora,,,,,,,,,,,,
Egnyte,http://www.crunchbase.com/company/egnyte,,,,,,,,,,,,
Egress Software Technologies,http://www.crunchbase.com/company/egress-software-technologies,,,,,,,,,,,,
EiNSTASOFT,http://www.crunchbase.com/company/einstasoft,,,,,,,,,,,,
EightyTwenty Group,http://www.crunchbase.com/company/eightytwenty-group,,,,,,,,,,,,
Ekartha,http://www.crunchbase.com/company/ekartha,,,,,,,,,,,,
El Fresko Technologies,http://www.crunchbase.com/company/el-fresko-technologies,,,,,,,,,,,,
Elan Emerging Technologies,http://www.crunchbase.com/company/elan-emerging-technologies-2,,,,,,,,,,,,
Elastic Email,http://www.crunchbase.com/company/elastic-email,,,,,,,,,,,,
ElasticBox,http://www.crunchbase.com/company/elasticbox,,,,,,,,,,,,
ElasticHosts,http://www.crunchbase.com/company/elastichosts-2,,,,,,,,,,,,
ElasticStack,http://www.crunchbase.com/company/elasticstack,,,,,,,,,,,,
Eldarion,http://www.crunchbase.com/company/eldarion,,,,,,,,,,,,
ElectricApps,http://www.crunchbase.com/company/electricapps,,,,,,,,,,,,
Electron Database,http://www.crunchbase.com/company/electron-database,,,,,,,,,,,,
Electronic Compute Systems,http://www.crunchbase.com/company/electronic-compute-systems,,,,,,,,,,,,
Elementool,http://www.crunchbase.com/company/elementool,,,,,,,,,,,,
Eleven Wireless,http://www.crunchbase.com/company/eleven-wireless,,,,,,,,,,,,
Ember Development,http://www.crunchbase.com/company/ember-development-2,,,,,,,,,,,,
Emerge Studio,http://www.crunchbase.com/company/emerge-studio,,,,,,,,,,,,
EncodingAll,http://www.crunchbase.com/company/encodingall,,,,,,,,,,,,
Enfatica,http://www.crunchbase.com/company/enfatica,,,,,,,,,,,,
Engineering Online,http://www.crunchbase.com/company/engineering-online,,,,,,,,,,,,
Enomaly,http://www.crunchbase.com/company/enomaly,,,,,,,,,,,,
Ensenda,http://www.crunchbase.com/company/ensenda-inc,,,,,,,,,,,,
Ensuant,http://www.crunchbase.com/company/ensuant,,,,,,,,,,,,
Enswers,http://www.crunchbase.com/company/enswers,,,,,,,,,,,,
Entailer,http://www.crunchbase.com/company/entailer-2,,,,,,,,,,,,
Enteracloud Solutions,http://www.crunchbase.com/company/enteracloud-solutions,,,,,,,,,,,,
Enterlab,http://www.crunchbase.com/company/enterlab,,,,,,,,,,,,
Entreda,http://www.crunchbase.com/company/entreda,,,,,,,,,,,,
EntropySoft,http://www.crunchbase.com/company/entropysoft,,,,,,,,,,,,
Envizions Computer Entertainment Corporation,http://www.crunchbase.com/company/envizions-computer-entertainment-corporation,,,,,,,,,,,,
EposFreedom,http://www.crunchbase.com/company/eposfreedom,,,,,,,,,,,,
Equilar,http://www.crunchbase.com/company/equilar,,,,,,,,,,,,
Erbix - Beetux Software,http://www.crunchbase.com/company/erbix-beetux-software,,,,,,,,,,,,
Eucalyptus Systems,http://www.crunchbase.com/company/eucalyptus-systems-inc,,,,,,,,,,,,
EventTurbo,http://www.crunchbase.com/company/eventturbo,,,,,,,,,,,,
Everex,http://www.crunchbase.com/company/everex,,,,,,,,,,,,
Evollia,http://www.crunchbase.com/company/evollia,,,,,,,,,,,,
Evolve IP,http://www.crunchbase.com/company/evolve-ip,,,,,,,,,,,,
ExSafe,http://www.crunchbase.com/company/exsafe,,,,,,,,,,,,
Exacaster,http://www.crunchbase.com/company/exacaster,,,,,,,,,,,,
Exepron,http://www.crunchbase.com/company/exepron,,,,,,,,,,,,
ExpanDrive,http://www.crunchbase.com/company/expandrive,,,,,,,,,,,,
Eye-Fi,http://www.crunchbase.com/company/eye-fi,,,,,,,,,,,,
FST Servers,http://www.crunchbase.com/company/fst-servers,,,,,,,,,,,,
Fabasoft,http://www.crunchbase.com/company/fabasoft,,,,,,,,,,,,
FacetFlow,http://www.crunchbase.com/company/facetflow,,,,,,,,,,,,
Familytic,http://www.crunchbase.com/company/familytic,,,,,,,,,,,,
FatFractal,http://www.crunchbase.com/company/fatfractal,,,,,,,,,,,,
Faulkner Technologies,http://www.crunchbase.com/company/faulkner-technologies,,,,,,,,,,,,
Featurestage,http://www.crunchbase.com/company/featurestage,,,,,,,,,,,,
Feed.Us,http://www.crunchbase.com/company/feed-us,,,,,,,,,,,,
FeedHenry,http://www.crunchbase.com/company/feedhenry,,,,,,,,,,,,
FeyaSoft,http://www.crunchbase.com/company/feyasoft,,,,,,,,,,,,
Fifth Room Storage,http://www.crunchbase.com/company/fifth-room-storage,,,,,,,,,,,,
Filepicker.io,http://www.crunchbase.com/company/https-www-filepicker-io,,,,,,,,,,,,
FilesAnywhere,http://www.crunchbase.com/company/filesanywhere,,,,,,,,,,,,
FinancialForce.com,http://www.crunchbase.com/company/financialforce-com,,,,,,,,,,,,
Fippex,http://www.crunchbase.com/company/fippex,,,,,,,,,,,,
FireHost,http://www.crunchbase.com/company/firehost,,,,,,,,,,,,
First Freight,http://www.crunchbase.com/company/first-freight,,,,,,,,,,,,
Five9,http://www.crunchbase.com/company/five9,,,,,,,,,,,,
FluentStream Technologies,http://www.crunchbase.com/company/fluentstream-technologies,,,,,,,,,,,,
Fluidinfo,http://www.crunchbase.com/company/fluidinfo,,,,,,,,,,,,
Fordela Corporation,http://www.crunchbase.com/company/fordela-corporation,,,,,,,,,,,,
Fork,http://www.crunchbase.com/company/fork,,,,,,,,,,,,
Fortnova,http://www.crunchbase.com/company/fortnova,,,,,,,,,,,,
Fragment Space,http://www.crunchbase.com/company/fragment-space,,,,,,,,,,,,
Framehawk,http://www.crunchbase.com/company/framehawk-inc,,,,,,,,,,,,
Freespee,http://www.crunchbase.com/company/freespee,,,,,,,,,,,,
Friendeo,http://www.crunchbase.com/company/friendeo,,,,,,,,,,,,
Friends Electric,http://www.crunchbase.com/company/friends-electric,,,,,,,,,,,,
Frodio,http://www.crunchbase.com/company/frodio,,,,,,,,,,,,
Fujitsu America,http://www.crunchbase.com/company/fujitsu-america,,,,,,,,,,,,
Funambol,http://www.crunchbase.com/company/funambol,,,,,,,,,,,,
FusionPipe Software Solutions,http://www.crunchbase.com/company/fusionpipe-software-solutions,,,,,,,,,,,,
G.ho.st,http://www.crunchbase.com/company/g-ho-st,,,,,,,,,,,,
G12 Communications,http://www.crunchbase.com/company/g12-communications,,,,,,,,,,,,
GCOMM,http://www.crunchbase.com/company/gcomm,,,,,,,,,,,,
GDocsDrive,http://www.crunchbase.com/company/gdocsdrive,,,,,,,,,,,,
GIGAS,http://www.crunchbase.com/company/gigas,,,,,,,,,,,,
GIS Cloud,http://www.crunchbase.com/company/gis-cloud,,,,,,,,,,,,
GRIN Publishing,http://www.crunchbase.com/company/grin,,,,,,,,,,,,
GTG Golf,http://www.crunchbase.com/company/gtg-golf,,,,,,,,,,,,
Gaikai,http://www.crunchbase.com/company/gaikai,,,,,,,,,,,,
Gale Technologies,http://www.crunchbase.com/company/gale-technologies,,,,,,,,,,,,
Gallerama,http://www.crunchbase.com/company/gallerama,,,,,,,,,,,,
Gamecarte,http://www.crunchbase.com/company/gamecarte,,,,,,,,,,,,
Gandi.net,http://www.crunchbase.com/company/gandi-net,,,,,,,,,,,,
Gaxsys US,http://www.crunchbase.com/company/gaxsys-us,,,,,,,,,,,,
Geminare,http://www.crunchbase.com/company/geminare,,,,,,,,,,,,
General Datatech,http://www.crunchbase.com/company/general-datatech,,,,,,,,,,,,
GenieDB,http://www.crunchbase.com/company/geniedb,,,,,,,,,,,,
Geo Springs,http://www.crunchbase.com/company/geo-springs,,,,,,,,,,,,
Get Localization,http://www.crunchbase.com/company/get-localization,,,,,,,,,,,,
GetApp,http://www.crunchbase.com/company/getapp,,,,,,,,,,,,
GetSense,http://www.crunchbase.com/company/getsense,,,,,,,,,,,,
Getquantify,http://www.crunchbase.com/company/getquantify,,,,,,,,,,,,
Gigasoft Brasil,http://www.crunchbase.com/company/gigasoft-brasil,,,,,,,,,,,,
Gigmax,http://www.crunchbase.com/company/gigmax,,,,,,,,,,,,
Gimme!,http://www.crunchbase.com/company/gimme,,,,,,,,,,,,
GivenGain,http://www.crunchbase.com/company/givengain,,,,,,,,,,,,
Givit,http://www.crunchbase.com/company/givit,,,,,,,,,,,,
Gizmo.com,http://www.crunchbase.com/company/gizmo,,,,,,,,,,,,
Gladinet,http://www.crunchbase.com/company/gladinet,,,,,,,,,,,,
GlassHouse Technologies,http://www.crunchbase.com/company/glasshouse-technologies,,,,,,,,,,,,
Global Boveda,http://www.crunchbase.com/company/global-boveda,,,,,,,,,,,,
GlobalSign,http://www.crunchbase.com/company/globalsign,,,,,,,,,,,,
GoGrid,http://www.crunchbase.com/company/gogrid,,,,,,,,,,,,
GoLIMS,http://www.crunchbase.com/company/golims,,,,,,,,,,,,
Gobbler,http://www.crunchbase.com/company/gobbler,,,,,,,,,,,,
Gogiro,http://www.crunchbase.com/company/gogiro,,,,,,,,,,,,
Gogobeans,http://www.crunchbase.com/company/gogobeans,,,,,,,,,,,,
Good OS,http://www.crunchbase.com/company/good-os,,,,,,,,,,,,
Goyus,http://www.crunchbase.com/company/goyus,,,,,,,,,,,,
GramercyOne,http://www.crunchbase.com/company/gramercyone,,,,,,,,,,,,
Granicus,http://www.crunchbase.com/company/granicus,,,,,,,,,,,,
Granite Horizon,http://www.crunchbase.com/company/granite-horizon,,,,,,,,,,,,
Green Brick Apps,http://www.crunchbase.com/company/green-brick-apps,,,,,,,,,,,,
Green House Data,http://www.crunchbase.com/company/green-house-data,,,,,,,,,,,,
GreenBox Group Ltd,http://www.crunchbase.com/company/greenbox-group-ltd,,,,,,,,,,,,
GreenButton,http://www.crunchbase.com/company/greenbutton,,,,,,,,,,,,
Grid Dynamics,http://www.crunchbase.com/company/grid-dynamics,,,,,,,,,,,,
GridMarkets,http://www.crunchbase.com/company/gridmarkets,,,,,,,,,,,,
GridVirt,http://www.crunchbase.com/company/gridvirt,,,,,,,,,,,,
Gridcentric,http://www.crunchbase.com/company/gridcentric,,,,,,,,,,,,
Gridinit,http://www.crunchbase.com/company/gridinit,,,,,,,,,,,,
Groopt,http://www.crunchbase.com/company/groopt,,,,,,,,,,,,
Groupnic,http://www.crunchbase.com/company/groupnic,,,,,,,,,,,,
GuardSight,http://www.crunchbase.com/company/guardsight,,,,,,,,,,,,
Gumiyo,http://www.crunchbase.com/company/gumiyo,,,,,,,,,,,,
Gutenberg Technology,http://www.crunchbase.com/company/gutenberg-technology,,,,,,,,,,,,
Gyanagni Consulting Private Limited,http://www.crunchbase.com/company/gyanagni-consulting-private-limited,,,,,,,,,,,,
HackerTarget.com LLC,http://www.crunchbase.com/company/hackertarget-com-llc,,,,,,,,,,,,
Hatsize,http://www.crunchbase.com/company/hatsize,,,,,,,,,,,,
Hazelcast,http://www.crunchbase.com/company/hazelcast,,,,,,,,,,,,
HealPay,http://www.crunchbase.com/company/healpay,,,,,,,,,,,,
HealthFusion,http://www.crunchbase.com/company/healthfusion,,,,,,,,,,,,
Herd.fm,http://www.crunchbase.com/company/herd-fm,,,,,,,,,,,,
Hibiscus Technology Solutions,http://www.crunchbase.com/company/hibiscus-technology-solutions,,,,,,,,,,,,
HioxIndia,http://www.crunchbase.com/company/hioxindia,,,,,,,,,,,,
Hit Systems,http://www.crunchbase.com/company/hit-systems,,,,,,,,,,,,
Hojoki,http://www.crunchbase.com/company/hojoki,,,,,,,,,,,,
Hold-Free Networks,http://www.crunchbase.com/company/hold-free-networks,,,,,,,,,,,,
Hooduku Xervmon,http://www.crunchbase.com/company/hooduku-xervmon,,,,,,,,,,,,
Hoppio,http://www.crunchbase.com/company/hoppio,,,,,,,,,,,,
Host Analytics,http://www.crunchbase.com/company/host-analytics,,,,,,,,,,,,
Host.net,http://www.crunchbase.com/company/host-net,,,,,,,,,,,,
Hostarting,http://www.crunchbase.com/company/hostarting,,,,,,,,,,,,
Hosted Solutions,http://www.crunchbase.com/company/hosted-solutions,,,,,,,,,,,,
Hosteeo,http://www.crunchbase.com/company/hosteeo,,,,,,,,,,,,
HotelNinjas,http://www.crunchbase.com/company/hotelninjas,,,,,,,,,,,,
HubOne,http://www.crunchbase.com/company/hubone,,,,,,,,,,,,
Huebris,http://www.crunchbase.com/company/huebris,,,,,,,,,,,,
Humint Labs,http://www.crunchbase.com/company/humint-labs,,,,,,,,,,,,
Hyperoffice.com,http://www.crunchbase.com/company/hyperoffice-com,,,,,,,,,,,,
Hypersoft Information Systems,http://www.crunchbase.com/company/hypersoft-information-systems,,,,,,,,,,,,
I Think Security,http://www.crunchbase.com/company/i-think-security,,,,,,,,,,,,
ICES 4D,http://www.crunchbase.com/company/ices-4d,,,,,,,,,,,,
ICT In A Box,http://www.crunchbase.com/company/ict-in-a-box,,,,,,,,,,,,
ICaR systems,http://www.crunchbase.com/company/icar-systems,,,,,,,,,,,,
IDEA Information Systems,http://www.crunchbase.com/company/idea-information-systems,,,,,,,,,,,,
ILANTUS Technologies,http://www.crunchbase.com/company/ilantus-technologies,,,,,,,,,,,,
IMEX Research,http://www.crunchbase.com/company/imex-research,,,,,,,,,,,,
INVIDIA Corporation,http://www.crunchbase.com/company/invidia-corporation,,,,,,,,,,,,
INgage Networks,http://www.crunchbase.com/company/ingage-networks,,,,,,,,,,,,
IPSOFACTO IT Services,http://www.crunchbase.com/company/ipsofacto-it-services,,,,,,,,,,,,
IPe Engenharia de Redes,http://www.crunchbase.com/company/ipe-engenharia-de-redes,,,,,,,,,,,,
IQ Tech Pros,http://www.crunchbase.com/company/iq-tech-pros,,,,,,,,,,,,
ITBVision,http://www.crunchbase.com/company/itbvision,,,,,,,,,,,,
ITRP Institute,http://www.crunchbase.com/company/itrp-institute,,,,,,,,,,,,
ITSCAPE,http://www.crunchbase.com/company/itscape,,,,,,,,,,,,
Icomppower Technology,http://www.crunchbase.com/company/icomppower-technology,,,,,,,,,,,,
Idea2,http://www.crunchbase.com/company/idea2,,,,,,,,,,,,
Ideedock,http://www.crunchbase.com/company/ideedock,,,,,,,,,,,,
IgluLabs,http://www.crunchbase.com/company/iglulabs,,,,,,,,,,,,
Ignite,http://www.crunchbase.com/company/ignite,,,,,,,,,,,,
Immunet Corporation,http://www.crunchbase.com/company/immunet-corporation,,,,,,,,,,,,
Imogo Mobile Technologies Corp,http://www.crunchbase.com/company/imogo-mobile-technologies-corp,,,,,,,,,,,,
Incapsula,http://www.crunchbase.com/company/incapsula,,,,,,,,,,,,
Incipi,http://www.crunchbase.com/company/incipi,,,,,,,,,,,,
IndexTank,http://www.crunchbase.com/company/indextank,,,,,,,,,,,,
Infiniwiz,http://www.crunchbase.com/company/infiniwiz,,,,,,,,,,,,
Infinys System Indonesia,http://www.crunchbase.com/company/infinys-system-indonesia,,,,,,,,,,,,
"InfoRelay Online Systems, Inc.",http://www.crunchbase.com/company/inforelay-online-systems-inc,,,,,,,,,,,,
InfoStretch Solutions,http://www.crunchbase.com/company/infostretch-solutions,,,,,,,,,,,,
Inforbix,http://www.crunchbase.com/company/inforbix,,,,,,,,,,,,
Informatica,http://www.crunchbase.com/company/informatica,,,,,,,,,,,,
Infostretch Corporation,http://www.crunchbase.com/company/infostretch-corporation,,,,,,,,,,,,
InfraSight Labs,http://www.crunchbase.com/company/infrasight-labs,,,,,,,,,,,,
Inktank,http://www.crunchbase.com/company/inktank,,,,,,,,,,,,
InnoSci Tecnologies,http://www.crunchbase.com/company/innosci-tecnologies,,,,,,,,,,,,
Innominds Software Pvt. Ltd.,http://www.crunchbase.com/company/innominds-software-pvt-ltd,,,,,,,,,,,,
Innovative Network Solutions,http://www.crunchbase.com/company/innovative-network-solutions,,,,,,,,,,,,
Inspark,http://www.crunchbase.com/company/inspark,,,,,,,,,,,,
InstaMed,http://www.crunchbase.com/company/instamed,,,,,,,,,,,,
Intacct,http://www.crunchbase.com/company/intacct,,,,,,,,,,,,
Intacore | Managed IT Services,http://www.crunchbase.com/company/intacore-managed-it-services,,,,,,,,,,,,
IntelaText,http://www.crunchbase.com/company/intelatext,,,,,,,,,,,,
IntelePeer,http://www.crunchbase.com/company/intelepeer,,,,,,,,,,,,
IntelliGrape Software,http://www.crunchbase.com/company/intelligrape-software,,,,,,,,,,,,
Interactive Intelligence,http://www.crunchbase.com/company/interactive-intelligence,,,,,,,,,,,,
Interactive Supercomputing,http://www.crunchbase.com/company/interactive-supercomputing,,,,,,,,,,,,
Interarbor Solutions,http://www.crunchbase.com/company/interarbor-solutions,,,,,,,,,,,,
Intergrid,http://www.crunchbase.com/company/intergrid,,,,,,,,,,,,
Intermedia,http://www.crunchbase.com/company/intermedia,,,,,,,,,,,,
Interoute,http://www.crunchbase.com/company/interoute,,,,,,,,,,,,
Intrahost,http://www.crunchbase.com/company/intrahost,,,,,,,,,,,,
Inveni,http://www.crunchbase.com/company/inveni,,,,,,,,,,,,
Iron.io,http://www.crunchbase.com/company/iron-io,,,,,,,,,,,,
Isidorey,http://www.crunchbase.com/company/isidorey,,,,,,,,,,,,
JRapid,http://www.crunchbase.com/company/jrapid,,,,,,,,,,,,
JaguarPC,http://www.crunchbase.com/company/jaguarpc,,,,,,,,,,,,
JamCloud,http://www.crunchbase.com/company/jamcloud,,,,,,,,,,,,
JasonDB,http://www.crunchbase.com/company/jasondb,,,,,,,,,,,,
Jibidee,http://www.crunchbase.com/company/jibidee,,,,,,,,,,,,
Jitscale,http://www.crunchbase.com/company/jitscale,,,,,,,,,,,,
Jitterbit,http://www.crunchbase.com/company/jitterbit,,,,,,,,,,,,
Jobaya,http://www.crunchbase.com/company/jobaya,,,,,,,,,,,,
Jolicloud,http://www.crunchbase.com/company/jolicloud,,,,,,,,,,,,
Joox,http://www.crunchbase.com/company/joox,,,,,,,,,,,,
Joyent,http://www.crunchbase.com/company/joyent,,,,,,,,,,,,
JumpBox,http://www.crunchbase.com/company/jumpbox,,,,,,,,,,,,
K.lab educmedia GmbH,http://www.crunchbase.com/company/k-lab-educmedia-gmbh,,,,,,,,,,,,
KCD Tech,http://www.crunchbase.com/company/kcd-tech,,,,,,,,,,,,
